Epoch: 2540, Train Loss: 1.582, Val AUC: 0.838
Epoch: 2550, Train Loss: 1.589, Val AUC: 0.839
Epoch: 2560, Train Loss: 1.574, Val AUC: 0.838
Epoch: 2570, Train Loss: 1.568, Val AUC: 0.838
Epoch: 2580, Train Loss: 1.554, Val AUC: 0.839
Epoch: 2590, Train Loss: 1.567, Val AUC: 0.839
Epoch: 2600, Train Loss: 1.542, Val AUC: 0.839
Epoch: 2610, Train Loss: 1.540, Val AUC: 0.840
Epoch: 2620, Train Loss: 1.534, Val AUC: 0.839
Epoch: 2630, Train Loss: 1.525, Val AUC: 0.839
Epoch: 2640, Train Loss: 1.523, Val AUC: 0.840
Epoch: 2650, Train Loss: 1.510, Val AUC: 0.845
Epoch: 2660, Train Loss: 1.504, Val AUC: 0.841
Epoch: 2670, Train Loss: 1.502, Val AUC: 0.838
Epoch: 2680, Train Loss: 1.485, Val AUC: 0.837
Epoch: 2690, Train Loss: 1.500, Val AUC: 0.839
Epoch: 2700, Train Loss: 1.491, Val AUC: 0.839
Epoch: 2710, Train Loss: 1.469, Val AUC: 0.840
Epoch: 2720, Train Loss: 1.470, Val AUC: 0.838
Epoch: 2730, Train Loss: 1.480, Val AUC: 0.840
Epoch: 2740, Train Loss: 1.465, Val AUC: 0.840
Epoch: 2750, Train Loss: 1.458, Val AUC: 0.836
Epoch: 2760, Train Loss: 1.458, Val AUC: 0.838
Epoch: 2770, Train Loss: 1.447, Val AUC: 0.840
Epoch: 2780, Train Loss: 1.441, Val AUC: 0.838
Epoch: 2790, Train Loss: 1.433, Val AUC: 0.838
Epoch: 2800, Train Loss: 1.432, Val AUC: 0.841
Epoch: 2810, Train Loss: 1.435, Val AUC: 0.840
Epoch: 2820, Train Loss: 1.413, Val AUC: 0.840
Epoch: 2830, Train Loss: 1.413, Val AUC: 0.840
Epoch: 2840, Train Loss: 1.408, Val AUC: 0.840
Epoch: 2850, Train Loss: 1.412, Val AUC: 0.839
Epoch: 2860, Train Loss: 1.415, Val AUC: 0.839
Epoch: 2870, Train Loss: 1.396, Val AUC: 0.838
Epoch: 2880, Train Loss: 1.388, Val AUC: 0.840
Epoch: 2890, Train Loss: 1.390, Val AUC: 0.838
Epoch: 2900, Train Loss: 1.387, Val AUC: 0.841
Epoch: 2910, Train Loss: 1.384, Val AUC: 0.839
Epoch: 2920, Train Loss: 1.378, Val AUC: 0.838
Epoch: 2930, Train Loss: 1.377, Val AUC: 0.840
Epoch: 2940, Train Loss: 1.367, Val AUC: 0.841
Epoch: 2950, Train Loss: 1.368, Val AUC: 0.842
Epoch: 2960, Train Loss: 1.350, Val AUC: 0.839
Epoch: 2970, Train Loss: 1.358, Val AUC: 0.840
Epoch: 2980, Train Loss: 1.359, Val AUC: 0.840
Epoch: 2990, Train Loss: 1.345, Val AUC: 0.840
Epoch: 3000, Train Loss: 1.342, Val AUC: 0.840
